,User ID,Session ID,Event Time,Event,Device,Region,Channel,Product Category,Revenue,Bonus Flag
0,USR00001,SES00001,2026-01-07 23:46:20.358501,Browse,Tablet,South,Organic,Electronics,0.0,Yes
1,USR00001,SES00001,2026-01-07 23:49:20.358501,Add to Cart,Tablet,South,Organic,Electronics,0.0,Yes
2,USR00001,SES00001,2026-01-07 23:51:20.358501,Checkout,Tablet,South,Organic,Electronics,0.0,Yes
3,USR00002,SES00002,2026-01-04 21:06:42.296010,Browse,Desktop,East,Email,Sports,0.0,Yes
4,USR00002,SES00002,2026-01-04 21:10:42.296010,Add to Cart,Desktop,East,Email,Sports,0.0,Yes
5,USR00003,SES00003,2025-12-19 20:49:00.895328,Browse,Tablet,South,Email,Fashion,0.0,Yes
6,USR00004,SES00004,2026-01-08 07:58:00.840696,Browse,Tablet,East,Organic,Sports,0.0,Yes
7,USR00004,SES00004,2026-01-08 08:00:00.840696,Add to Cart,Tablet,East,Organic,Sports,0.0,Yes
8,USR00004,SES00004,2026-01-08 08:02:00.840696,Checkout,Tablet,East,Organic,Sports,0.0,Yes
9,USR00005,SES00005,2025-12-21 20:56:31.701462,Browse,Desktop,South,Google Ads,Beauty,0.0,Yes
10,USR00005,SES00005,2025-12-21 20:58:31.701462,Add to Cart,Desktop,South,Google Ads,Beauty,0.0,Yes
11,USR00005,SES00005,2025-12-21 21:01:31.701462,Checkout,Desktop,South,Google Ads,Beauty,0.0,Yes
12,USR00005,SES00005,2025-12-21 21:04:31.701462,Purchase,Desktop,South,Google Ads,Beauty,427.16,No
13,USR00006,SES00006,2026-01-07 07:00:28.795023,Browse,Desktop,East,Email,Electronics,0.0,Yes
14,USR00006,SES00006,2026-01-07 07:03:28.795023,Add to Cart,Desktop,East,Email,Electronics,0.0,Yes
15,USR00007,SES00007,2026-01-01 01:56:15.168737,Browse,Desktop,West,Social Media,Fashion,0.0,Yes
16,USR00007,SES00007,2026-01-01 02:01:15.168737,Add to Cart,Desktop,West,Social Media,Fashion,0.0,Yes
17,USR00007,SES00007,2026-01-01 02:03:15.168737,Checkout,Desktop,West,Social Media,Fashion,0.0,Yes
18,USR00008,SES00008,2026-01-05 12:57:39.144740,Browse,Mobile,North,Social Media,Sports,0.0,Yes
19,USR00009,SES00009,2025-12-22 10:35:04.655928,Browse,Desktop,North,Organic,Fashion,0.0,Yes
20,USR00009,SES00009,2025-12-22 10:39:04.655928,Add to Cart,Desktop,North,Organic,Fashion,0.0,Yes
21,USR00010,SES00010,2025-12-16 08:09:25.273681,Browse,Mobile,East,Organic,Sports,0.0,Yes
22,USR00011,SES00011,2025-12-14 23:17:35.775816,Browse,Tablet,North,Google Ads,Home,0.0,Yes
23,USR00011,SES00011,2025-12-14 23:20:35.775816,Add to Cart,Tablet,North,Google Ads,Home,0.0,Yes
24,USR00012,SES00012,2025-12-10 23:50:49.842629,Browse,Desktop,South,Social Media,Home,0.0,Yes
25,USR00012,SES00012,2025-12-10 23:53:49.842629,Add to Cart,Desktop,South,Social Media,Home,0.0,Yes
26,USR00013,SES00013,2025-12-22 03:11:19.343850,Browse,Mobile,South,Google Ads,Sports,0.0,Yes
27,USR00013,SES00013,2025-12-22 03:13:19.343850,Add to Cart,Mobile,South,Google Ads,Sports,0.0,Yes
28,USR00014,SES00014,2026-01-07 03:51:43.510350,Browse,Desktop,West,Email,Electronics,0.0,Yes
29,USR00014,SES00014,2026-01-07 03:55:43.510350,Add to Cart,Desktop,West,Email,Electronics,0.0,Yes
30,USR00014,SES00014,2026-01-07 03:59:43.510350,Checkout,Desktop,West,Email,Electronics,0.0,Yes
31,USR00015,SES00015,2026-01-06 08:08:01.517690,Browse,Tablet,East,Social Media,Fashion,0.0,Yes
32,USR00015,SES00015,2026-01-06 08:13:01.517690,Add to Cart,Tablet,East,Social Media,Fashion,0.0,Yes
33,USR00015,SES00015,2026-01-06 08:18:01.517690,Checkout,Tablet,East,Social Media,Fashion,0.0,Yes
34,USR00016,SES00016,2025-12-18 18:11:38.293064,Browse,Desktop,South,Social Media,Fashion,0.0,Yes
35,USR00017,SES00017,2026-01-05 14:13:19.909218,Browse,Desktop,West,Google Ads,Beauty,0.0,Yes
36,USR00017,SES00017,2026-01-05 14:15:19.909218,Add to Cart,Desktop,West,Google Ads,Beauty,0.0,Yes
37,USR00017,SES00017,2026-01-05 14:17:19.909218,Checkout,Desktop,West,Google Ads,Beauty,0.0,Yes
38,USR00018,SES00018,2025-12-14 02:38:25.160934,Browse,Tablet,South,Google Ads,Beauty,0.0,Yes
39,USR00018,SES00018,2025-12-14 02:43:25.160934,Add to Cart,Tablet,South,Google Ads,Beauty,0.0,Yes
40,USR00019,SES00019,2025-12-27 12:25:16.842494,Browse,Tablet,South,Google Ads,Home,0.0,Yes
41,USR00020,SES00020,2025-12-12 09:10:14.602429,Browse,Desktop,South,Email,Home,0.0,Yes
42,USR00021,SES00021,2025-12-28 16:54:37.700402,Browse,Desktop,East,Email,Fashion,0.0,Yes
43,USR00021,SES00021,2025-12-28 16:57:37.700402,Add to Cart,Desktop,East,Email,Fashion,0.0,Yes
44,USR00021,SES00021,2025-12-28 17:02:37.700402,Checkout,Desktop,East,Email,Fashion,0.0,Yes
45,USR00022,SES00022,2026-01-08 05:59:46.606006,Browse,Mobile,North,Organic,Beauty,0.0,Yes
46,USR00022,SES00022,2026-01-08 06:03:46.606006,Add to Cart,Mobile,North,Organic,Beauty,0.0,Yes
47,USR00023,SES00023,2025-12-14 05:00:09.788756,Browse,Desktop,West,Organic,Sports,0.0,Yes
48,USR00024,SES00024,2026-01-01 09:16:10.004204,Browse,Desktop,East,Email,Electronics,0.0,Yes
49,USR00025,SES00025,2025-12-24 17:00:23.081618,Browse,Desktop,West,Organic,Electronics,0.0,Yes
50,USR00025,SES00025,2025-12-24 17:04:23.081618,Add to Cart,Desktop,West,Organic,Electronics,0.0,Yes
51,USR00026,SES00026,2025-12-11 00:49:12.643137,Browse,Mobile,East,Google Ads,Beauty,0.0,Yes
52,USR00026,SES00026,2025-12-11 00:53:12.643137,Add to Cart,Mobile,East,Google Ads,Beauty,0.0,Yes
53,USR00026,SES00026,2025-12-11 00:56:12.643137,Checkout,Mobile,East,Google Ads,Beauty,0.0,Yes
54,USR00027,SES00027,2025-12-26 23:02:47.518384,Browse,Mobile,North,Google Ads,Home,0.0,Yes
55,USR00027,SES00027,2025-12-26 23:07:47.518384,Add to Cart,Mobile,North,Google Ads,Home,0.0,Yes
56,USR00027,SES00027,2025-12-26 23:10:47.518384,Checkout,Mobile,North,Google Ads,Home,0.0,Yes
57,USR00027,SES00027,2025-12-26 23:14:47.518384,Purchase,Mobile,North,Google Ads,Home,201.08,No
58,USR00028,SES00028,2026-01-07 16:41:23.530170,Browse,Mobile,South,Social Media,Beauty,0.0,Yes
59,USR00028,SES00028,2026-01-07 16:43:23.530170,Add to Cart,Mobile,South,Social Media,Beauty,0.0,Yes
60,USR00029,SES00029,2025-12-16 08:23:29.403010,Browse,Mobile,East,Email,Sports,0.0,Yes
61,USR00030,SES00030,2025-12-31 23:43:46.015789,Browse,Mobile,North,Social Media,Electronics,0.0,Yes
62,USR00030,SES00030,2025-12-31 23:48:46.015789,Add to Cart,Mobile,North,Social Media,Electronics,0.0,Yes
63,USR00030,SES00030,2025-12-31 23:53:46.015789,Checkout,Mobile,North,Social Media,Electronics,0.0,Yes
64,USR00031,SES00031,2025-12-15 14:27:36.681371,Browse,Mobile,West,Social Media,Fashion,0.0,Yes
65,USR00031,SES00031,2025-12-15 14:32:36.681371,Add to Cart,Mobile,West,Social Media,Fashion,0.0,Yes
66,USR00032,SES00032,2025-12-09 20:45:43.104462,Browse,Desktop,South,Organic,Beauty,0.0,Yes
67,USR00033,SES00033,2026-01-08 03:05:26.792799,Browse,Tablet,South,Social Media,Beauty,0.0,Yes
